Project,Client,Title,Duration
SOS1920-21,,#1 Hacer el L02,00:01:21
SOS1920-21,,#1 Probando Tooggl,00:00:26
SOS1920-21,,#11 Some changes on my proposal data,00:34:12
SOS1920-21,,#12 Sync with container,00:28:10
SOS1920-21,,#13 Postman,00:16:18
SOS1920-21,,#14 Changes on Heroku,00:55:40
SOS1920-21,,#15 Download Postman,00:18:51
SOS1920-21,,#16 Changes in repository,02:42:09
SOS1920-21,,#17 Create API REST,05:27:56
SOS1920-21,,#18 Perform API-REST,05:26:43
SOS1920-21,,#19 Working on API REST,08:36:53
SOS1920-21,,#2 Create milestone for F01,00:02:03
SOS1920-21,,#20 Implementing nebd,00:27:49
SOS1920-21,,#21 Warning from F03,00:36:19
SOS1920-21,,#22 Implementing Nedb,07:54:54
SOS1920-21,,#23 Fix the failures in F03 and implement nedb,18:44:45
SOS1920-21,,#24 Search and pagination,05:03:37
SOS1920-21,,#25 Welcome to Svelte,08:42:15
SOS1920-21,,#26 Snynk badge,00:14:43
SOS1920-21,,#27 Add Codecov,28:07:30
SOS1920-21,,#28 Fixing D02,01:19:39
SOS1920-21,,#29 Styling api website,02:02:10
SOS1920-21,,#3 Add info to SOS common repository,00:23:51
SOS1920-21,,#30 Working D3JS,00:20:56
SOS1920-21,,#31 Firebase Backend,00:59:38
SOS1920-21,,#32 Postman tests with Travis,04:22:03
SOS1920-21,,#35 Graph Visualization,09:37:25
SOS1920-21,,#36 Graph Visuals,11:17:56
SOS1920-21,,#37 Implementing Graph Library from Awesome,02:36:25
SOS1920-21,,#38 Implementations,19:53:10
SOS1920-21,,#4 clone repository of the subject in GoormIDE,00:23:24
SOS1920-21,,#4 Clone repository of this subject in GoormIDE,00:24:16
SOS1920-21,,#40 Integrations,01:01:42
SOS1920-21,,#42 Team Integration,03:02:33
SOS1920-21,,#43 Video,00:04:42
SOS1920-21,,#6 Create workspace in Toggl,00:02:39
SOS1920-21,,#9 Modify L04 and L05 content for F02,00:46:06
SOS1920-21,,Adding teachers to Toggl,00:04:08
SOS1920-21,,Creating API REST,01:01:57
SOS1920-21,,Heroku,02:43:57
SOS1920-21,,Hora servidor,00:16:03
SOS1920-21,,Install Postman,00:07:28
SOS1920-21,,Leer Piazza,00:16:45
SOS1920-21,,Modify README.md,00:11:34
,,,00:00:55
